CustomerKey,CustomerID,CustomerName,CustomerType,City,State,Country
1,11000,Jon Yang,IN,Rockhampton,Queensland,Australia
2,11001,Eugene Huang,IN,Seaford,Victoria,Australia
3,11002,Ruben Torres,IN,Hobart,Tasmania,Australia
4,11003,Christy Zhu,IN,North Ryde,New South Wales,Australia
5,11004,Elizabeth Johnson,IN,Wollongong,New South Wales,Australia
6,11005,Julio Ruiz,IN,East Brisbane,Queensland,Australia
7,11006,Janet Alvarez,IN,Matraville,New South Wales,Australia
8,11007,Marco Mehta,IN,Warrnambool,Victoria,Australia
9,11008,Rob Verhoff,IN,Bendigo,Victoria,Australia
10,11009,Shannon Carlson,IN,Hervey Bay,Queensland,Australia
11,11010,Jacquelyn Suarez,IN,East Brisbane,Queensland,Australia
12,11011,Curtis Lu,IN,East Brisbane,Queensland,Australia
13,11012,Lauren Walker,IN,Bremerton,Washington,United States
14,11013,Ian Jenkins,IN,Lebanon,Oregon,United States
15,11014,Sydney Bennett,IN,Redmond,Washington,United States
16,11015,Chloe Young,IN,Burbank,California,United States
17,11016,Wyatt Hill,IN,Imperial Beach,California,United States
18,11017,Shannon Wang,IN,Sunbury,Victoria,Australia
19,11018,Clarence Rai,IN,Bendigo,Victoria,Australia
20,11019,Luke Lal,IN,Langley,British Columbia,Canada
21,11020,Jordan King,IN,Metchosin,British Columbia,Canada
22,11021,Destiny Wilson,IN,Beaverton,Oregon,United States
23,11022,Ethan Zhang,IN,Bellingham,Washington,United States
24,11023,Seth Edwards,IN,Bellflower,California,United States
25,11024,Russell Xie,IN,Concord,California,United States
26,11025,Alejandro Beck,IN,Hawthorne,Queensland,Australia
27,11026,Harold Sai,IN,Goulburn,New South Wales,Australia
28,11027,Jessie Zhao,IN,Warrnambool,Victoria,Australia
29,11028,Jill Jimenez,IN,St. Leonards,New South Wales,Australia
30,11029,Jimmy Moreno,IN,Bendigo,Victoria,Australia
31,11030,Bethany Yuan,IN,Cloverdale,South Australia,Australia
32,11031,Theresa Ramos,IN,Matraville,New South Wales,Australia
33,11032,Denise Stone,IN,Melbourne,Victoria,Australia
34,11033,Jaime Nath,IN,Milsons Point,New South Wales,Australia
35,11034,Ebony Gonzalez,IN,North Sydney,New South Wales,Australia
36,11035,Wendy Dominguez,IN,Cranbourne,Victoria,Australia
37,11036,Jennifer Russell,IN,National City,California,United States
38,11037,Chloe Garcia,IN,Cliffside,British Columbia,Canada
39,11038,Diana Hernandez,IN,Lavender Bay,New South Wales,Australia
40,11039,Marc Martin,IN,Wollongong,New South Wales,Australia
41,11040,Jesse Murphy,IN,Tacoma,Washington,United States
